,UF,Município,Estabelecimento,Tipo,Endereço
146,BA,"Feira de Santana","CAPS II OSCAR MARQUES","CAPS II","RUA COMANDANTE ALMIRO, 1170 Bairro: SERRARIA BRASIL CEP: 44003078 Fone: 75 36146595"
147,BA,"Feira de Santana","CAPS DR SILVIO LUIZ SANTOS MARQUES","CAPS II","RUA ALTAMIRA, 175 Bairro: MANGABEIRA CEP: 44051730 Fone: (75)2235788"
148,BA,"Feira de Santana","CAPS III DR JOAO CARLOS LOPES CAVALCANTE","CAPS III","RUA FRANCISCO MARTINS DA SILVA, 239 Bairro: PONTO CENTRAL CEP: 44075475 Fone: (75)36124555"
149,BA,Filadélfia,"CAPS JOAO ROQUE DA SILVA","CAPS I","RUA 21 DE SETEMBRO, S/N Bairro: CENTRO CEP: 44775000 Fone: 7435512724"
150,BA,Gandu,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL DE GANDU","CAPS I","PRACA RUI BARBOSA, S/N Bairro: CENTRO CEP: 45450000 Fone: (73)3254-1988"
151,BA,"Governador Mangabeira","CENTRO DE ATENCAO PSICOSSOCIAL DE GOVERNADOR MANGABEIRA","CAPS I","RUA CESARIO COSTA, 235 Bairro: CENTRO CEP: 44350000"
152,BA,Guanambi,"CAPS DE GUANAMBI","CAPS II","RUA JOAQUIM CHAVES, S/N Bairro: SANTO ANTONIO CEP: 46430000 Fone: (77)34518738"
153,BA,Iaçu,"CENTRO DE ATENDIMENTO PSICOSSOCIAL MANOEL PINTO SANTANA","CAPS I","RUA 13 DE MAIO, 155 Bairro: CENTRO CEP: 46860000"
154,BA,Ibicaraí,"CENTRO DE ATENCAO PSICOSSOCIAL ARMANDO MIRANDA DE SOUZA","CAPS I","TRAVESSA QUINTO PEREIRA, 355 Bairro: CENTRO CEP: 45745000 Fone: (73) 2422651"
155,BA,Ibicoara,"CAPS IBICOARA","CAPS I","RUA ADELVIRO AZEVEDO COSTA, 143 Bairro: CENTRO CEP: 46760000 Fone: 7734132335"
156,BA,Ibirapitanga,"CAPS ANTONIO ANACLETO ASSUNCAO","CAPS I","RUA LOURIVAL MIGUEL FERREIRA, S/N Bairro: CENTRO CEP: 45500000 Fone: (73)8142-3639"
157,BA,Ibirataia,"CENTRO DE ATENCAO PSICOSSOCIAL DE IBIRATAIA","CAPS I","RUA SAO JOAO, 46 Bairro: JOSE FIRMINO DA SILV CEP: 45580000 Fone: 73 35372125"
158,BA,Ibotirama,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL DE IBOTIRAMA","CAPS I","RUA ANTONIO NELSON SOARES BARBOSA, S/N Bairro: SAO FRANCISCO CEP: 47520000 Fone: 7736983265"
159,BA,Igaporã,"CENTRO DE ATENCAO PSICO SOCIAL","CAPS I","RUA MARCELO MARQUES FERNANDES, 130 Bairro: CIDADE NOVA CEP: 46490000"
160,BA,Iguaí,"CAPS DR JAILTON MATOS","CAPS I","RUA IRACI, S/N Bairro: CENTRO CEP: 45280000"
161,BA,Ilhéus,"CAPSIA DE ILHEUS","CAPS i","AVENIDA OSVALDO CRUZ, 358 Bairro: CIDADE NOVA CEP: 45652570"
162,BA,Ilhéus,"CENTRO ASSISTENCIAL PSICOSSOCIAL","CAPS II","PRACA FLORENCIO GOMES, 460 Bairro: CIDADE NOVA CEP: 45652120 Fone: (73) 3634-8692"
163,BA,Inhambupe,"CAPS 1","CAPS I","MARIO SIMOES DE AZEVEDO, 102 Bairro: CENTRO CEP: 48490000 Fone: 99773886"
164,BA,Ipecaetá,"CAPS I ANTONIO SOUZA SILVA","CAPS I","AVENIDA POSSIDONIO DE SOUZA, 96 Bairro: CENTRO CEP: 44680000 Fone: 7536852113"
165,BA,Ipiaú,"CENTRO DE APOIO PSICOSSOCIAL DE IPIAU","CAPS I","TRAVESSA BAHIA, 05 Bairro: EMBURRADO CEP: 45570000 Fone: (73) 35315107"
166,BA,Ipirá,"CAPS I","CAPS I","RUA BENJAMIM SAMPAIO, S/N Bairro: CENTRO CEP: 44600000 Fone: (75)32543746"
167,BA,Irajuba,"CAPS I CAPS DE IRAJUBA","CAPS I","PRC MARINHO SANTOS, 161 Bairro: CENTRO CEP: 45370000"
168,BA,Iraquara,"CENTRO DE ATENCAO PSICOSSOCIAL DE IRAQUARA CAPS","CAPS I","RUA JOSE ALVES DE ALMEIDA, S/N Bairro: CENTRO CEP: 46980000"
169,BA,Irará,"CAPS I LUIZ JORGE DE JESUS ZICO","CAPS I","AVENIDA PEDRO NOLASCO DE PINHO, S/N Bairro: CENTRO CEP: 44255000 Fone: (075)32473819"
170,BA,Irecê,"CENTRO DE ATENCAO PSICOSSOCIAL DIAS MELHORES","CAPS II","RIO BRANCO, S/N Bairro: RECANTO DAS ARVORES CEP: 44900000 Fone: 74 3641 9126"
171,BA,Itabela,"CAPS IVANI ANCHIETA ESTOLANO DOS SANTOS","CAPS I","RUA NOSSA SENHORA DAJUDA, 689 Bairro: CENTRO CEP: 45848000 Fone: 7332703164"
172,BA,Itaberaba,"CAPS ITABERABA","CAPS II","RUA DONALD ALVES AMORIM, 420 Bairro: URBIS CEP: 46880000 Fone: (75) 3251 - 6899"
173,BA,Itabuna,"CAPSAD CENTRO DE ATENCAO PSICOSSOCIAL PARA ALCOOL E DROGA","CAPS AD","RUA E, 111 Bairro: BANCO RASO CEP: 45600200"
174,BA,Itabuna,"CAPSI II CENTRO DE AT PSICDA INFANCIA E ADOLESCENCIA","CAPS i","RUA J, 247 Bairro: JARDIM VITORIA CEP: 45600200"
175,BA,Itabuna,"CAPS II","CAPS II","RUA G, 100 Bairro: JARDIM DE ALAMAR CEP: 45600045 Fone: (73)214 6102"
176,BA,Itacaré,"CAPS I","CAPS I","RUA LODONIO ALMEIDA, S/N Bairro: CENTRO CEP: 45530000"
177,BA,Itaeté,"CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","TRAVESSA MARIA JOSE, 01 Bairro: CENTRO CEP: 46790000 Fone: 7533202175"
178,BA,Itamaraju,"CAPS I REPENSANDO DE PORTAS ABERTAS","CAPS I","RUA FLUMINENSE, 47 Bairro: NOVO PRADO CEP: 45836000 Fone: 73 - 3294 - 9989"
179,BA,Itambé,"CENTRO DE ATENCAO PSICOSSOCIAL DE ITAMBE CAPS I","CAPS I","AVENIDA GETULIO VARGAS, 855 Bairro: AGENOR NOVAIS CEP: 45140000 Fone: (77)3432-8320"
180,BA,Itanhém,"CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA NOVO MUNDO, 221 Bairro: SAO JOAO CEP: 45970000 Fone: 073 - 32952595"
181,BA,Itapetinga,"CENTRO DE ATENCAO PSICOSOCIAL DE ALCOOL E DROGAS CAPS AD","CAPS AD","RUA MORUMBI, S/N Bairro: MORUMBI CEP: 45700000"
182,BA,Itapetinga,"CENTRO DE ATENCAO PSICO SOCIAL CAPS II","CAPS II","RUA ESPIRITO SANTO, 60 Bairro: CLEROLANDIA CEP: 45700000 Fone: (77)32617927"
183,BA,Itapicuru,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL DE ITAPICURU","CAPS I","AVENIDA ACM, S/N Bairro: CENTRO CEP: 48475000 Fone: 75 34302161"
184,BA,Itiúba,"CAPS CENTRO DE ATENCAO PSICOSOCIAL NOVO TEMPO","CAPS I","AVENIDA VEREADOR OSVALDO CAMPOS, 116 Bairro: CENTRO CEP: 48850000 Fone: 7435461399"
185,BA,Itororó,"CAPS PASARGADA","CAPS I","RUA Q, S/N Bairro: LOTEAMENTO PARQUE RI CEP: 45710000"
186,BA,Ituberá,"CENTRO DE ATENCAO PSICOSSOCIAL DE ITUBERA","CAPS I","RUA JAIME CABRAL DE SOUZA, S/N Bairro: ERICO SABINO DE SOUZ CEP: 45435000 Fone: 32562759"
187,BA,Jacobina,"CAPS AD","CAPS AD","CONDOMINIO MOTINHA, S/N Bairro: CAEIRA CEP: 44700000"
188,BA,Jacobina,"CAPS II","CAPS II","AV NOSSA SENHORA DA CONCEICAO, 987 Bairro: TAMARINDO CEP: 44700000 Fone: 7436210964"
189,BA,Jaguaquara,"CENTRO DE ATENCAO PSICOSSOCIAL HERMINIO MARCELINO DOS SANTOS","CAPS I","AV TAYLOR EGIDIO, 31 Bairro: MURITIBA CEP: 45345000 Fone: (73) 3534-2110"
190,BA,Jaguarari,"CENTRO DE ATENCAO PSICO SOCIAL DE JAGUARARI CAPS I","CAPS I","RUA DA QUADRA, 01 Bairro: POPULARES CEP: 48960000 Fone: 74 3619 2938"
191,BA,Jequié,"CAPS AD CENTRO DE AT PSICO DR WALDOMIRO RODRIGUES COSTA","CAPS AD","RUA OLARIA, S/N Bairro: MANDACARU CEP: 45210014 Fone: (73)3527-1873"
192,BA,Jequié,"CAPS GUITO GUIGO","CAPS II","RUA BEIRA RIO, S/N Bairro: MANDACARU CEP: 45210006 Fone: (73)3527-1879"
193,BA,Jeremoabo,"CAPS RENASCER","CAPS I","RUA LUIZA EULINA CARVALHO SA, 1 Bairro: CENTRO CEP: 48540000"
194,BA,Juazeiro,"CAPS AD","CAPS AD","AVENIDA ELIZEU MARTINS DO NASCIMENTO, S/N Bairro: NOVO ENCONTRO CEP: 48902300"
195,BA,Juazeiro,CAPS,"CAPS II","RUA ARACAJU, 8 Bairro: DOM THOMAZ CEP: 48905525 Fone: 36133646"
196,BA,Laje,"CENTRO DE ATENCAO PSICOSSOCIAL ALMIR PEIXOTO","CAPS I","AV LUIS EDUARDO MAGALHAES, S/N Bairro: CENTRO CEP: 45490000 Fone: 7536622164"
197,BA,"Lauro de Freitas","CAPS AD SANTO AMARO DE IPITANGA","CAPS AD","RUA DOS PRAZERES, 251 Bairro: CAJI RECREIO IPITA CEP: 42700290 Fone: 71 3288-7407"
198,BA,"Lauro de Freitas","CAPS IA LAURO DE FREITAS","CAPS i","RUA JOKEY CLUB, 24 Bairro: CENTRO CEP: 42702250 Fone: 33799280"
199,BA,"Lauro de Freitas","CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS II","RUA CHILE, S/N Bairro: RECREIO IPITANGA CEP: 42700230 Fone: 71 3288 - 4890"
200,BA,"Livramento de Nossa Senhora","CAPS CENTRO ATENDIMENTO PSICOSSOCIAL DE LIVRAMENTO","CAPS II","RUA JOSIAS DE SOUZA LESSA, 87 Bairro: ESTOCADA CEP: 46140000"
201,BA,"Luís Eduardo Magalhães","CAPS I GISLAINE GADO","CAPS I","RUA PERNAMBUCO, 950 Bairro: CENTRO CEP: 47850045 Fone: 3628-2170"
202,BA,Macarani,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL MACARANI","CAPS I","RUA ALEXANDRE MANOEL DOS SANTOS, S/N Bairro: GUARUJA CEP: 45760000 Fone: 7732742165"
203,BA,Macaúbas,"CENTRO DE ATENCAO PSICOSOCIAL DE MACAUBAS","CAPS I","RUA DR MANOEL VITORINO, S/N Bairro: CENTRO CEP: 46500000 Fone: (77)34732553"
204,BA,Mairi,"CAPS DION DA SILVA","CAPS I","RUA CLAUDIONORA BRASIL, S/N Bairro: CENTRO CEP: 44630000 Fone: 710999112108"
205,BA,Maracás,"CAPS I DE MARACAS","CAPS I","RUA FRUTUOSO CERQUEIRA, S/N Bairro: CENTRO CEP: 45360000"
206,BA,Maragogipe,"CENTRO DE ATENCAO PSICOSSOCIAL ADUILIO DA CONCEICAO","CAPS I","RUA PERCILIANO ALVES DE ALBERGARIA, S/N Bairro: ENSEADA CEP: 44420000 Fone: 7599779415"
207,BA,"Mata de São João","CENTRO DE ATENCAO PSICOSOCIAL","CAPS I","RUA JULIO VERISSIMO, S/N Bairro: CENTRO CEP: 48280000 Fone: (71) 99957-6796"
208,BA,"Medeiros Neto","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA ARACI ALVES PINTO, 0 Bairro: ULDURICO PINTO CEP: 45960000"
209,BA,"Miguel Calmon","CAPS PEDRO JOSE DIAS","CAPS I","RUA ANTONIO FRANCISCO DE SOUSA, 01 Bairro: CENTRO CEP: 44720000 Fone: 7436271668"
210,BA,Mirangaba,"CAPS DE MIRANGABA","CAPS I","RUA ALTO DA BELA VISTA, S/N Bairro: CENTRO CEP: 44745000"
211,BA,"Monte Santo","CENTRO DE ATENCAO PSICOSSOCIAL WALDENOR BATISTA DOS SANTOS","CAPS I","RUA AGENOR CALDAS, S/N Bairro: CENTRO CEP: 48800000 Fone: (75) 3275-1017"
212,BA,"Morro do Chapéu","CAPS I","CAPS I","RUA EDIGAR SIMOES, 325 Bairro: PEDRA GRANDE CEP: 44850000"
213,BA,Mucugê,"CAPS MUCUGE","CAPS I","RUA DOUTOR RODRIGUES LIMA, S/N Bairro: CENTRO CEP: 46750000"
214,BA,Mucuri,"CENTRO DE ATENCAO PSICOSSOCIAL DE MUCURI","CAPS I","RUA SAO JOSE, 312 Bairro: CENTRO CEP: 45930000 Fone: (73) 3206.2226"
215,BA,Muritiba,"CAPS CASTRO ALVES","CAPS I","RUA LIONS CLUDE, S/N Bairro: H CEP: 44340000"
216,BA,Nazaré,"CAPS CENTRO ATENCAO PSICOSOCIAL DR JOAO BATISTA F T FILHO","CAPS I","RUA WALSON LOPES, 3 Bairro: CENTRO CEP: 44400000 Fone: (75)6362711"
217,BA,"Nova Viçosa","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL DE NOVA VICOSA","CAPS I","AVENIDA OCEANICA, 22 Bairro: CENTRO CEP: 45920000 Fone: 73-32081080"
218,BA,Olindina,"CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA OTAVIO MANGABEIRA, S/N Bairro: CENTRO CEP: 48470000 Fone: 75 3436-1088"
219,BA,"Oliveira dos Brejinhos","CAPS I OLIVEIRA DOS BREJINHOS","CAPS I","RUA OURO PRETO, S/N Bairro: CENTRO CEP: 47530000 Fone: 7736422195"
220,BA,Paramirim,"CAPS AD III REGIONAL","CAPS AD III","RUA RIO DO PIRES, 101 Bairro: CENTRO CEP: 46190000 Fone: 7734713437"
221,BA,Paramirim,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA TRASIBULO DE BRITO, 270 Bairro: CENTRO CEP: 46190000 Fone: (77)3471-2412"
222,BA,Paratinga,"CENTRO DE ATENCAO PSICOSSOCIAL DE PARATINGA CAPS","CAPS I","RUA SAO JOAO, S/N Bairro: SAO JOAO CEP: 47500000"
223,BA,Paripiranga,"CENTRO DE ATENDIMENTO PSICOSSOCIAL NOVA ESPERANCA","CAPS I","RUA JOSAFA CARREGOSA, S/N Bairro: CENTRO CEP: 48430000 Fone: 32782588"
224,BA,"Paulo Afonso","CAPS AD CENT DE ATENCAO PSICOSSOCIAL P ALCOOL E DROGAS","CAPS AD","AVENIDA JOSE HEMETERIO DE CARVALHO, 644 Bairro: PERPETUO SOCORRO CEP: 48601320 Fone: (75)3282-5140"
225,BA,"Paulo Afonso","CAPS II CENT DE ATENCAO PSICOSSOCIAL EM SAUDE MENTAL","CAPS II","RUA JOANA ANGELICA, 426 Bairro: PERPETUO SOCORRO CEP: 48603000"
226,BA,Piatã,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA PRESIDENTE VARGAS, 121 Bairro: CENTRO CEP: 46765000 Fone: 7734792119"
227,BA,Pindobaçu,"CENTRO DE ATENCAO PSICO SOCIAL DE PINDOBACU CAPS I","CAPS I","BAIRRO ANTONIO JOSE DE CARVALHO, S/N Bairro: ANTONIO JOSE DE CARV CEP: 44770000"
228,BA,Planalto,"CAPS1 MANOEL DIAS NETO","CAPS I","RUA ALOISIO LACERDA, 02 Bairro: CENTRO CEP: 45190000 Fone: 34342561"
229,BA,Poções,"CENTRO DE ATENCAO PSICOSSOCIAL DE POCOES CAPS I","CAPS I","RUA ALMIR DA ROCHA E SILVA, 84 Bairro: RECREIO CEP: 45260000"
230,BA,Pojuca,"CAPS DE POJUCA","CAPS I","PRACA JURACI MAGALHAES, 370 Bairro: CRUZEIRO CEP: 48120000 Fone: 71-3645-4066"
231,BA,"Ponto Novo","CAPS DE PONTO NOVO","CAPS I","RUA GETULIO VARGAS, 170 Bairro: CENTRO CEP: 44755000 Fone: 7436771140"
232,BA,"Porto Seguro","CAPS AD DE PORTO SEGURO","CAPS AD","RUA BEIJA FLOR, 11 Bairro: FONTANA CEP: 45810000 Fone: (73) 9 8157-6846"
233,BA,"Porto Seguro","CAPS IA PORTO SEGURO","CAPS i","RUA TREZE DE MAIO, 105 Bairro: CENTRO CEP: 45810000 Fone: (73) 9 8157-7234"
234,BA,"Porto Seguro","CAPS II PORTO SEGURO","CAPS II","RUA ALFREDO BORGES FIGUEIREDO, 107 Bairro: CAMBOLO CEP: 45810000 Fone: (73) 3268-9713"
235,BA,Prado,"CAPS I PRADO","CAPS I","AVENIDA PRESIDENTE KENNEDY, S/N Bairro: CENTRO CEP: 45980000"
236,BA,"Presidente Jânio Quadros","SOMOS TODOS IGUAIS","CAPS I","AVENIDA NACOES UNIDAS, S/N Bairro: CENTRO CEP: 46250000 Fone: 77-3492-2426"
237,BA,Queimadas,"CAPS SANTO ANTONIO DAS QUEIMADAS","CAPS I","DR GILDO FERNANDES, S/N Bairro: CENTRO CEP: 48860000 Fone: 75-36441003"
238,BA,Quijingue,"CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA SAO JOAO, S/N Bairro: CENTRO CEP: 48830000"
239,BA,"Rafael Jambeiro","CAPS I JOSE ANGELO DA SILVA OLIVEIRA","CAPS I","RUA RAFAEL JAMBEIRO, S/N Bairro: CENTRO CEP: 44520000 Fone: 75 36802166"
240,BA,Remanso,"CAPS I ANTONIO DIAS DE CASTRO","CAPS I","AVENIDA MAX OTT, 60 Bairro: QUADRA 13 CEP: 47200000 Fone: 74-3535-0649"
241,BA,"Riachão do Jacuípe","CENTRO DE ATENCAO PSICOSSOCIAL DE RIACHAO DO JACUIPE","CAPS I","RUA ADALBERTO CARLOS FERREIRA, S/N Bairro: BARRA DO VENTO CEP: 44640000 Fone: (75) 3264-1783"
242,BA,"Riacho de Santana","CAPS CENTRO DE ATENCAO PSICO SOCIAL","CAPS I","AVENIDA DO AGRICULTOR, S/N Bairro: ALTO DA ESCOLA AGRIC CEP: 46470000 Fone: 7734572592"
243,BA,"Rio do Antônio","CAPS I DE RIO DO ANTONIO","CAPS I","RUA JOAQUIM SACRAMENTO, S/N Bairro: CENTRO CEP: 46220000 Fone: 7734702022"
244,BA,"Rio Real","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL I","CAPS I","TV CAPITAO GILVENCIO, 203 Bairro: CENTRO CEP: 48330000 Fone: (75) 3426 1294"
245,BA,"Ruy Barbosa","CAPS RUY BARBOSA","CAPS I","AVENIDA ARTUR SA, S/N Bairro: FOLGA CEP: 46800000 Fone: 75-3252-1778"
246,BA,Salvador,"CAPS AD PERNAMBUES","CAPS AD","RUA CONDE PEREIRA CARNEIRO, 271 Bairro: PERNANBUES CEP: 41100000 Fone: (71)3238-2847"
247,BA,Salvador,"CENTRO DE ATENCAO PSICOSSOCIAL GREGORIO DE MATOS","CAPS AD","RUA DO SALDANHA, 35 Bairro: CENTRO CEP: 40020250 Fone: (71)33220235 / 0304"
248,BA,Salvador,"CAPS AD III GEY ESPINHEIRA","CAPS AD III","ESTRADA CAMPINAS DE PIRAJA, 61 Bairro: CAMPINAS DE PIRAJA CEP: 40100000 Fone: 71 99993-7676"
249,BA,Salvador,"CAPSIA LIBERDADE","CAPS i","RUA CONDE DO PORTO ALEGRE, 11 Bairro: IAPI CEP: 40330201 Fone: (71) 3611-9011"
250,BA,Salvador,"CENTRO DE ATENCAO PSICOSSOCIAL PROF LUIZ MEIRA LESSA CAPS I","CAPS i","RUA DAS MANGALOEIRAS CASA, 32 Bairro: JAGUARIBE CEP: 41613066 Fone: (71) 3611-7913"
251,BA,Salvador,NZINGA,"CAPS I","RUA SANTA FILOMENA, 608 Bairro: SAO TOME DE PARIPE CEP: 40750490 Fone: (71) 3521-4706"
252,BA,Salvador,CREASI,"CAPS I","AVENIDA ANTONIO CARLOS MAGALHAES, S/N Bairro: IGUATEMI CEP: 41820000 Fone: (71) 3103-6126"
253,BA,Salvador,"CAPS II NISE DA SILVEIRA","CAPS II","RUA JERUSALEM, 15 Bairro: FAZ GRANDE II CAJAZE CEP: 41345539 Fone: 3202-1738"
254,BA,Salvador,"CAPS III ROSA GARCIA JARDIM ARMACAO","CAPS II","RUA PEDRO SILVA RIBEIRO, S/N Bairro: JARDIM ARMACAO CEP: 41750260 Fone: (71) 3202-1682"
255,BA,Salvador,"CAPS EDUARDO SABACK DIAS DE MORAES","CAPS II","RUA CONDE PEREIRA CARNEIRO, 139 Bairro: PERNAMBUES CEP: 41100010 Fone: 3460-1957/3202-1645"
256,BA,Salvador,"CAPS II FRANCO BASAGLIA","CAPS II","RUA ARISTOTELES COSTA LEAL, 36 Bairro: PIATA CEP: 41650400 Fone: (71) 3202-0720"
257,BA,Salvador,"CAPS II UFBA","CAPS II","RUA LEOVIGILDO FILGUEIRAS, 392 Bairro: GARCIA CEP: 40100050 Fone: (71) 99913-7893"
258,BA,Salvador,"CAPS II PAU DA LIMA","CAPS II","RUA ESTRADA DAS MURICOCA, 01 Bairro: VALE DOS LAGOS CEP: 41250420 Fone: (71) 3202-1278"
259,BA,Salvador,"CAPS II ANTONIO ROBERTO PELLEGRINO JARDIM BAIANO","CAPS II","RUA ARQUIMEDES GONCALVES, 226 Bairro: NAZARE CEP: 40050300 Fone: (71) 3321-3679"
260,BA,Salvador,"CAPS AGUAS CLARAS","CAPS II","RUA CORONEL AZEVEDO, S/N Bairro: CAJAZEIRAS II CEP: 41310295 Fone: (71) 3202-1294"
261,BA,Salvador,"CAPS II ARISTIDES NOVIS","CAPS II","AV LAURINDO REGIS, 01 Bairro: ENGENHO VELHO BROTAS CEP: 40240550 Fone: 3202-1623"
262,BA,Salvador,"CAPS PROFESSOR ADILSON PEIXOTO SAMPAIO","CAPS II","RUA DO CEU, 77 Bairro: CAMINHO DE AREIA CEP: 40415305 Fone: (71) 3202-0635"
263,BA,Salvador,"CAPS II OSWALDO CAMARGO","CAPS II","RUA ITABUNA, 02 Bairro: RIO VERMELHO CEP: 41940650 Fone: (71)3611-5600"
264,BA,Salvador,"CAPS MARIA CELIA DA ROCHA","CAPS III","RUA JOSE PIRES CASTELO BRANCO, 30 Bairro: PRAIA GRANDE CEP: 40720720 Fone: 3397-2846"
265,BA,"Santa Bárbara","CAPS I IRMA CATARINA ROCHA","CAPS I","AVENIDA ACM, S/N Bairro: CENTRO CEP: 44150000 Fone: 75 32361279"
266,BA,"Santa Cruz Cabrália","CENTRO DE ATENCAO PSICOSSOCIAL CAPS I","CAPS I","RUA ABIDIAS MONTEIRO, 701 Bairro: NOVA CABRALIA CEP: 45807000 Fone: (73) 3282-1256"
267,BA,Santaluz,"CAPS AD III DE SANTALUZ","CAPS AD III","RUA JOSE ALVES DE GOES, 320 Bairro: CENTRO CEP: 48880000"
268,BA,Santaluz,"CAPS I DE SANTALUZ","CAPS I","RUA PRESIDENTE MEDICE, 56 Bairro: CENTRO CEP: 48880000 Fone: (75)3265-2099"
269,BA,"Santa Maria da Vitória","CAPS I CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA TITO SOARES, S/N Bairro: FRANCISCO ALVES CEP: 47640000 Fone: (77)4834911"
270,BA,Santana,"CAPS I CENTRO ATENCAO PSIQUICO SOCIAL","CAPS I","RUA SANTA RITA DE CASSIA, 488 Bairro: SAO JOSE CEP: 47700000 Fone: 77 3484-2144 / 2148"
271,BA,"Santa Rita de Cássia","CAPS SANTA RITA DE CASSIA","CAPS I","RUA CASTRO ALVES, 99 Bairro: CENTRO CEP: 47150000 Fone: 77 3625 1972"
272,BA,"Santo Amaro","CAPS I DE SANTO AMARO","CAPS I","PRACA COMENDADOR SAMPAIO, 21 Bairro: CENTRO CEP: 44200000 Fone: 7532417170"
273,BA,"Santo Antônio de Jesus","CAPS AD VALE VIVER","CAPS AD","RUA DA CONCEICAO, 88 Bairro: SAO BENEDITO CEP: 44444328"
274,BA,"Santo Antônio de Jesus","CAPS II NOVA VIDA","CAPS II","AVENIDA BARROS E ALMEIDA, 723 Bairro: SAO BENEDITO CEP: 44444328 Fone: (75)36324420"
275,BA,"Santo Estêvão","CAPS I DRA MARIA QUITERIA MASCARENHAS S SANTOS OLIVEIRA","CAPS I","AV GETULIO VARGAS, 516 Bairro: CENTRO CEP: 44190000"
276,BA,"São Desidério","CAPS I","CAPS I","RUA ABDIAS DE SOUZA, 78 Bairro: TANGARA CEP: 47820000 Fone: (77)36232216"
277,BA,"São Domingos","CAPS I","CAPS I","RUA DOLATINO LUIZ, S/N Bairro: CENTRO CEP: 48895000 Fone: 75-36952211"
278,BA,"São Felipe","CAPS VIDA NOVA","CAPS I","RUA DOM MACEDO COSTA, S/N Bairro: CENTRO CEP: 44550000 Fone: 75-36283208"
279,BA,"São Félix","CENTRO DE ATENCAO PSICOSSOCIAL DE SAO FELIX","CAPS I","RUA CONEGO CORTES, 01 Bairro: CENTRO CEP: 44360000 Fone: 7534384087"
280,BA,"São Félix do Coribe","CAPS SAO FELIX DO CORIBE","CAPS I","RUA JOSE FERREIRA GONCALVES, 25 Bairro: CENTRO CEP: 47665000"
281,BA,"São Gonçalo dos Campos","CENTRO DE ATENCAO PSICOSOCIAL CAPS 1","CAPS I","RUA CAMPOS SALES, 17 Bairro: CENTRO CEP: 44330000"
282,BA,"São Sebastião do Passé","CAPS I DR GUSTAVO PINHEIRO","CAPS I","RUA ROQUE SILVIO GARCEZ, 10 Bairro: MALHADA CEP: 43850000 Fone: 7136551540"
283,BA,Seabra,"CENTRO DE APOIO PSICOSSOCIAL CAPS","CAPS I","DJALMA MOREIRA LOPES, 150 Bairro: NOSSA SENHORA DAS GR CEP: 46900000 Fone: 75 33312211"
284,BA,"Senhor do Bonfim","CAPS AD VIVER A VIDA","CAPS AD","RUA PORTO ALEGRE, 197 Bairro: SANTO DUMONT CEP: 48970000 Fone: 7435412340"
285,BA,"Senhor do Bonfim","CAPS II SENHOR DO BONFIM","CAPS I","RUA PADRE ANCHIETA, 263 Bairro: MARISTA CEP: 48970000 Fone: 7435414048"
286,BA,"Sento Sé","CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","AVENIDA RAUL ALVES DE SOUZA, S/N Bairro: CENTRO CEP: 47350000 Fone: 74-35372966"
287,BA,"Serra do Ramalho","CAPS CENTRO DE ATENCAO PSICOSSOCIAL","CAPS I","RUA DO ANTIGO HOSPITAL, S/N Bairro: ROSA DOS VENTOS CEP: 47630000 Fone: 7736201013"
288,BA,"Serra Dourada","CAPS I FLORENTINA PEREIRA DA SILVA MIUCHA","CAPS I","RUA FRANCISCO NUNES DOURADO, 381 Bairro: CENTRO CEP: 47740000 Fone: (77)3686-2080"
289,BA,Serrinha,"CAPS AD III REGIONAL","CAPS AD III","RODOVIA SERRINHA COITE BA 409 KM 01, S/N Bairro: NOVO HORIZONTE CEP: 48700000 Fone: 75-3261-8301"
290,BA,Serrinha,"CAPS SERRINHA","CAPS II","RUA REGINALDO RIBEIRO, 197 Bairro: GINASIO CEP: 48700000 Fone: (75) 2610471"
291,BA,Sobradinho,"CAPS I SOBRADINHO","CAPS I","QUADRA N 12 RUA 01, 06 Bairro: VILA SAO JOAQUIM CEP: 48925000"
292,BA,"Souto Soares","CAPS OZIEL ALVES DOS SANTOS GRINGO","CAPS I","RUA EUTACIO VIEIRA VIANA, 58 Bairro: CENTRO CEP: 46990000"
293,BA,Tanhaçu,"CENTRO DE ATENCAO PSICOSSOCIAL DE TANHACU CAPS I","CAPS I","RUA PROFESSOR VALTIR ARAUJO, 25 Bairro: CENTRO CEP: 46600000 Fone: 77-3459-1282"
